“5G Technology and induction of coronavirus in skin cells,”	https://www.biolifesas.org/biolife/wp-content/uploads/2020/07/FIORANELLI.pdf	N/A
“A review of convalescent plasma transfusion in COVID-19: Old wine reserved for special occasions,”	https://www.lungindia.com/preprintarticle.asp?id=295234 https://doi.org/10.4103/lungindia.lungindia_350_20
“An epidemiological investigation of a new coronavirus pneumonia cluster epidemic spread in public transportation”	https://kns.cnki.net/kcms/detail/43.1223.r.20200304.1634.008.html	https://doi.org/10.1007/s00415-020-10145-6
“Analysis of Ten Microsecond simulation data of SARS-CoV-2 dimeric main protease,”	https://www.biorxiv.org/content/10.1101/2020.04.10.036020v2	https://doi.org/10.1101/2020.04.10.036020
“Analysis of thin-section CT in patients with coronavirus disease (COVID-19) after hospital discharge,”	https://www.sciencedirect.com/science/article/pii/S089970712030156X https://doi.org/10.1016/j.clinimag.2020.05.001
“Autopsy and Histologic Findings of Patients with New Coronavirus Pneumonia: The Pathologic Associations with Hypoxemia,” https://www.medscimonit.com/abstract/index/idArt/928837 https://doi.org/10.12659/MSM.928837
“Calcifediol Treatment and COVID-19-Related Outcomes,”	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3771318	https://dx.doi.org/10.2139/ssrn.3771318
“Can quantitative RT-PCR for SARS-coV-2 help in better management of patients and control of coronavirus disease 2019 pandemic,”	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7667399/	https://doi.org/10.1016/j.ijmmb.2020.10.016
“Can Traditional Chinese Medicine provide insights into controlling the COVID-19 pandemic: Serpentinization-induced lithospheric long-wavelength magnetic anomalies in Proterozoic bedrocks in a weakened geomagnetic field mediate the aberrant transformation of biogenic molecules in COVID-19 via magnetic catalysis,”	https://www.sciencedirect.com/science/article/pii/S0048969720363592 https://doi.org/10.1016/j.scitotenv.2020.142830
“Can Your AI Differentiate Cats from Covid-19? Sample Efﬁcient Uncertainty Estimation for Deep Learning Safety,”	https://api.deepai.org/publication-download-pdf/can-your-ai-differentiate-cats-from-covid-19-sample-efficient-uncertainty-estimation-for-deep-learning-safety	N/A
“Cardiovascular Disease, Drug Therapy, and Mortality in Covid-19,”	https://www.nejm.org/doi/full/10.1056/NEJMoa2007621	 https://doi.org/10.1056/NEJMoa2007621
“Chinese medical staff request international medical assistance in fighting against COVID-19,”	https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(20)30065-6/fulltext	https://doi.org/10.1016/S2214-109X(20)30065-6
“Chinese mental health burden during the COVID-19 pandemic,”	https://doi.org/10.1016/j.ajp.2020.102052	https://doi.org/10.1016/j.ajp.2020.102052
“Clinical and Epidemiological Characteristics of 34 Children With 2019 Novel Coronavirus Infection in Shenzhen,”	https://pubmed.ncbi.nlm.nih.gov/32062875/	https://doi.org/10.3760/cma.j.issn.0578-1310.2020.0008
“Clinical manifestations and outcome of SARS-CoV-2 infection during pregnancy,”	https://www.sciencedirect.com/science/article/pii/S0163445320301092 https://doi.org/10.1016/j.jinf.2020.02.028
“Chloroquine or hydroxychloroquine for COVID-19: why might they be hazardous?”	https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31174-0/fulltext	https://doi.org/10.1016/S0140-6736(20)31174-0
“Clinical sequelae of the novel coronavirus: does COVID-19 infection predispose patients to cancer?”	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7255429/	https://dx.doi.org/10.2217%2Ffon-2020-0300
“Computational analysis suggests putative intermediate animal hosts of the SARS-CoV-2,”	https://www.biorxiv.org/content/10.1101/2020.04.04.025080v2 https://doi.org/10.1101/2020.04.04.025080
“Corona Virus Killed by Sound Vibrations Produced by Thali or Ghanti: A Potential Hypothesis,”	http://matjournals.in/index.php/JMPRA/article/view/5250	N/A
“Coronavirus disease-2019: A brief compilation of facts,”	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7269276/#__ffn_sectitle	https://dx.doi.org/10.4103%2Fjomfp.JOMFP_137_20
“COVID-19 Emergency Responders in FDA’s Center for Drug Evaluation and Research,”	https://dx.doi.org/10.1016/j.japh.2020.04.007	https://doi.org/10.1016/j.japh.2020.04.007
